date	exp	fill_lvl
14/11	94.1	100
16/11	94.1	100
18/11	86.8	100
22/11	86.8	100
4/12	86.4	100
6/12	86.8	100
8/12	87.7	100
0/13	86.8	97
2/13	86.4	97
4/13	86.8	97
6/13	86.8	97
8/13	90.0	97
10/13	94.5	97
12/13	91.4	97
14/13	95.0	97
16/13	92.3	97
18/13	90.0	97
20/13	88.6	97
22/13	88.2	97
0/14	89.5	97
2/14	89.1	97
4/14	88.2	97
6/14	90.0	97
8/14	92.3	97
10/14	93.2	97
12/14	93.6	97
14/14	94.5	97
16/14	94.1	97
18/14	89.5	97
20/14	90.0	97
22/14	90.0	97
0/15	88.6	97
2/15	88.2	97
4/15	89.1	97
6/15	89.1	97
8/15	92.3	97
10/15	93.2	97
12/15	93.2	97
15/15	94.1	97
16/15	94.1	97
20/15	88.6	97
22/15	89.5	97
0/16	88.6	97
2/16	89.5	97
4/16	89.1	97
6/16	89.1	97
8/16	92.3	97
0/13	86.8	97
2/13	86.4	97
4/13	86.8	97
6/13	86.8	97
8/13	90.0	97
10/13	94.5	97
12/13	91.4	97
14/13	95.0	97
16/13	92.3	97
18/13	90.0	97
20/13	88.6	97
22/13	88.2	97
0/14	89.5	97
2/14	89.1	97
4/14	88.2	97
6/14	90.0	97
8/14	92.3	97
10/14	93.2	97
12/14	93.6	97
14/14	94.5	97
16/14	94.1	97
18/14	89.5	97
20/14	90.0	97
22/14	90.0	97
0/15	88.6	97
2/15	88.2	97
4/15	89.1	97
6/15	89.1	97
8/15	92.3	97
10/15	93.2	97
12/15	93.2	97
15/15	94.1	97
16/15	94.1	97
20/15	88.6	97
22/15	89.5	97
0/16	88.6	97
2/16	89.5	97
4/16	89.1	97
6/16	89.1	97
8/16	92.3	97
0/13	78.5	97
2/13	78.0	97
4/13	78.5	97
6/13	78.5	97
8/13	82.0	97
10/13	86.8	97
12/13	83.5	97
14/13	87.7	97
16/13	84.5	97
18/13	82.0	97
20/13	80.5	97
22/13	80.0	97
0/14	81.0	97
2/14	81.0	97
4/14	80.0	97
6/14	82.0	97
8/14	84.0	97
10/14	85.5	97
12/14	85.9	97
14/14	86.8	97
16/14	86.4	97
18/14	81.5	97
20/14	82.0	97
22/14	82.0	97
0/15	80.0	97
2/15	80.0	97
4/15	81.0	97
6/15	81.0	97
8/15	84.5	97
10/15	85.5	97
12/15	85.5	97
15/15	86.4	97
16/15	86.4	97
20/15	80.5	97
22/15	81.5	97
0/16	80.0	97
2/16	81.5	97
4/16	81.0	97
6/16	81.0	97
8/16	84.5	97
