date	exp	fill_lvl
14/11	33.6	50
16/11	33.6	50
18/11	35.0	50
20/11	34.3	50
4/12	35.0	50
6/12	34.3	50
8/12	35.0	50
0/13	35.0	47
2/13	35.0	47
4/13	34.3	47
6/13	35.0	47
8/13	34.3	47
10/13	31.4	47
12/13	31.4	47
14/13	32.1	47
16/13	32.1	47
18/13	33.6	47
20/13	32.9	47
22/13	32.9	47
0/14	33.6	47
2/14	32.9	47
4/14	34.3	47
6/14	32.1	47
8/14	32.9	47
10/14	32.1	47
12/14	32.9	47
14/14	31.4	47
16/14	30.0	47
18/14	34.3	47
20/14	32.9	47
22/14	32.9	47
0/15	33.6	47
2/15	32.9	47
4/15	32.9	47
6/15	33.6	47
8/15	33.6	47
10/15	32.9	47
12/15	32.9	47
14/15	31.4	47
16/15	32.1	47
20/15	32.1	47
22/15	32.9	47
0/16	32.9	47
2/16	33.6	47
4/16	32.9	47
6/16	32.9	47
8/16	33.6	47
0/13	35.0	47
0/13	35.0	47
2/13	35.0	47
2/13	35.0	47
4/13	34.3	47
4/13	34.3	47
6/13	35.0	47
6/13	35.0	47
8/13	34.3	47
8/13	34.3	47
10/13	31.4	47
10/13	31.4	47
12/13	31.4	47
12/13	31.4	47
14/13	32.1	47
14/13	32.1	47
16/13	32.1	47
16/13	32.1	47
18/13	33.6	47
18/13	33.6	47
20/13	32.9	47
20/13	32.9	47
22/13	32.9	47
22/13	32.9	47
0/14	33.6	47
0/14	33.6	47
2/14	32.9	47
2/14	32.9	47
4/14	34.3	47
4/14	34.3	47
6/14	32.1	47
6/14	32.1	47
8/14	32.9	47
8/14	32.9	47
10/14	32.1	47
10/14	32.1	47
12/14	32.9	47
12/14	32.9	47
14/14	31.4	47
14/14	31.4	47
16/14	30.0	47
16/14	30.0	47
18/14	34.3	47
18/14	34.3	47
20/14	32.9	47
20/14	32.9	47
22/14	32.9	47
22/14	32.9	47
0/15	33.6	47
0/15	33.6	47
2/15	32.9	47
2/15	32.9	47
4/15	32.9	47
4/15	32.9	47
6/15	33.6	47
6/15	33.6	47
8/15	33.6	47
8/15	33.6	47
10/15	32.9	47
10/15	32.9	47
12/15	32.9	47
12/15	32.9	47
14/15	31.4	47
14/15	31.4	47
16/15	32.1	47
16/15	32.1	47
20/15	32.1	47
20/15	32.1	47
22/15	32.9	47
22/15	32.9	47
0/16	32.9	47
0/16	32.9	47
2/16	33.6	47
2/16	33.6	47
4/16	32.9	47
4/16	32.9	47
6/16	32.9	47
6/16	32.9	47
8/16	33.6	47
8/16	33.6	47
0/13	26.7	47
2/13	26.7	47
4/13	26.3	47
6/13	26.7	47
8/13	26.3	47
10/13	24.3	47
12/13	23.6	47
14/13	25.0	47
16/13	24.3	47
18/13	25.4	47
20/13	25.4	47
22/13	25.4	47
0/14	25.8	47
2/14	25.4	47
4/14	26.3	47
6/14	25.0	47
8/14	25.4	47
10/14	25.0	47
12/14	25.4	47
14/14	24.3	47
16/14	22.9	47
18/14	26.3	47
20/14	25.4	47
22/14	25.4	47
0/15	25.8	47
2/15	25.4	47
4/15	25.4	47
6/15	26.3	47
8/15	25.8	47
10/15	25.8	47
12/15	25.4	47
14/15	24.3	47
16/15	25.0	47
20/15	25.0	47
22/15	25.4	47
0/16	25.4	47
2/16	25.8	47
4/16	25.4	47
6/16	25.4	47
8/16	25.8	47
